"(0,247955)"
"(187,76494)"
"(188,80892)"
"(189,86020)"
"(190,90972)"
"(191,96760)"
"(192,103912)"
"(193,109043)"
"(194,116679)"
"(195,118686)"
"(196,124032)"
"(197,128158)"
"(198,135488)"
"(199,138116)"
"(200,144228)"
"(201,144300)"
"(202,147561)"
"(203,147808)"
"(204,153193)"
"(205,153318)"
"(206,152292)"
"(207,158171)"
"(208,160132)"
"(209,161568)"
"(210,159198)"
"(211,156332)"
"(212,147697)"
"(213,139163)"
"(214,129780)"
"(215,115500)"
"(216,106344)"
"(217,100450)"
"(218,98245)"
"(219,97318)"
"(220,96768)"
"(221,94984)"
"(222,87516)"
"(223,94848)"
"(224,103054)"
"(225,110250)"
"(226,119799)"
"(227,127359)"
"(228,140832)"
"(229,151704)"
"(230,156160)"
"(231,159984)"
"(232,167990)"
"(233,170766)"
"(234,177156)"
"(235,175272)"
"(236,176157)"
"(237,173310)"
"(238,168751)"
"(239,160680)"
"(240,159580)"
"(241,153076)"
"(242,149902)"
"(243,144760)"
"(244,137344)"
"(245,128310)"
"(246,130350)"
"(247,126408)"
"(248,123640)"
"(249,118296)"
"(250,115710)"
"(251,109692)"
"(252,97284)"
"(253,101430)"
"(254,106500)"
"(255,110814)"
"(256,118087)"
"(257,124620)"
"(258,133950)"
"(259,142742)"
"(260,146816)"
"(261,149860)"
"(262,154808)"
"(263,163175)"
"(264,165396)"
"(265,174291)"
"(266,170346)"
"(267,173550)"
"(268,171513)"
"(269,159000)"
"(270,156000)"
"(271,152278)"
"(272,149490)"
"(273,146224)"
"(274,142576)"
"(275,134442)"
"(276,132696)"
"(277,128652)"
"(278,126412)"
"(279,122106)"
"(280,119840)"
"(281,117600)"
"(282,117312)"
"(283,111035)"
"(284,112674)"
"(285,113742)"
"(286,116145)"
"(287,118800)"
"(288,121825)"
"(289,122400)"
"(290,122165)"
"(291,127170)"
"(292,132068)"
"(293,137172)"
"(294,142240)"
"(295,147204)"
"(296,154693)"
"(297,161406)"
"(298,167912)"
"(299,170026)"
"(300,172584)"
"(301,173849)"
"(302,174341)"
"(303,177552)"
"(304,178948)"
"(305,179958)"
"(306,174736)"
"(307,172454)"
"(308,167268)"
"(309,165760)"
"(310,164268)"
"(311,161352)"
"(312,155744)"
"(313,150737)"
"(314,148584)"
"(315,148200)"
"(316,148656)"
"(317,149247)"
"(318,148588)"
"(319,148938)"
"(320,148148)"
"(321,146211)"
"(322,147205)"
"(323,151500)"
"(324,153328)"
"(325,158928)"
"(326,161728)"
"(327,166860)"
"(328,168950)"
"(329,169570)"
"(330,169495)"
"(331,169646)"
"(332,169494)"
"(333,166314)"
"(334,165440)"
"(335,165425)"
"(336,161036)"
"(337,158808)"
"(338,157590)"
"(339,157388)"
"(340,158508)"
"(341,162225)"
"(342,163770)"
"(343,163938)"
"(344,161607)"
"(345,159075)"
"(346,155502)"
"(347,153872)"
"(348,148200)"
"(349,132480)"
"(350,134029)"
"(351,134805)"
"(352,139587)"
"(353,141778)"
"(354,147588)"
"(355,149270)"
"(356,152700)"
"(357,153811)"
"(358,155648)"
"(359,154200)"
"(360,153549)"
"(361,152360)"
"(362,154737)"
"(363,154350)"
"(364,157113)"
"(365,157940)"
"(366,161570)"
"(367,163684)"
"(368,168236)"
"(369,173472)"
"(370,178410)"
"(371,184382)"
"(372,182818)"
"(373,180375)"
"(374,180026)"
"(375,179224)"
"(376,176853)"
"(377,158817)"
"(378,157439)"
"(379,156663)"
"(380,156978)"
"(381,159640)"
"(382,161874)"
"(383,165396)"
"(384,167629)"
"(385,167787)"
"(386,169260)"
"(387,173399)"
"(388,171524)"
"(389,169157)"
"(390,169950)"
"(391,169950)"
"(392,170078)"
"(393,173160)"
"(394,175455)"
"(395,175656)"
"(396,177320)"
"(397,181806)"
"(398,186124)"
"(399,185658)"
"(400,185328)"
"(401,184800)"
"(402,183150)"
"(403,182094)"
"(404,178017)"
"(405,176553)"
"(406,160457)"
"(407,159768)"
"(408,158208)"
"(409,159753)"
"(410,160468)"
"(411,164164)"
"(412,166860)"
"(413,169184)"
"(414,172463)"
"(415,176407)"
"(416,179850)"
"(417,176088)"
"(418,176088)"
"(419,175218)"
"(420,174195)"
"(421,176407)"
"(422,177744)"
"(423,176726)"
"(424,176886)"
"(425,180320)"
"(426,181286)"
"(427,184356)"
"(428,180642)"
"(429,177513)"
"(430,175490)"
"(431,176423)"
"(432,171600)"
"(433,172546)"
"(434,158256)"
"(435,156045)"
"(436,154020)"
"(437,154500)"
"(438,151998)"
"(439,154808)"
"(440,156816)"
"(441,158064)"
"(442,160920)"
"(443,164288)"
"(444,164647)"
"(445,166402)"
"(446,168665)"
"(447,170136)"
"(448,170999)"
"(449,174028)"
"(450,174510)"
"(451,175854)"
"(452,173402)"
"(453,174510)"
"(454,175140)"
"(455,176960)"
"(456,178788)"
"(457,181440)"
"(458,183787)"
"(459,188339)"
"(460,189610)"
"(461,193672)"
"(462,191520)"
"(463,189501)"
"(464,186022)"
"(465,184755)"
"(466,183300)"
"(467,183141)"
"(468,183787)"
"(469,183040)"
"(470,184000)"
"(471,184896)"

"(472,184320)"
"(473,182909)"
"(474,183744)"
"(475,183168)"
"(476,182275)"
"(477,183360)"
"(478,183540)"
"(479,182649)"
"(480,180942)"
"(481,182328)"
"(482,182080)"
"(483,183612)"
"(484,185725)"
"(485,187525)"
"(486,189912)"
"(487,194449)"
"(488,195160)"
"(489,198930)"
"(490,197185)"
"(491,193672)"
"(492,191196)"
"(493,187912)"
"(494,185556)"
"(495,183141)"
"(496,183787)"
"(497,183040)"
"(498,184000)"
"(499,184896)"
"(500,184320)"
"(501,182909)"
"(502,183744)"
"(503,183168)"
"(504,182275)"
"(505,183360)"
"(506,183540)"
"(507,182649)"
"(508,180942)"
"(509,182328)"
"(510,182080)"
"(511,183612)"
"(512,185725)"
"(513,187525)"
"(514,189912)"
"(515,194449)"
"(516,195160)"
"(517,198930)"
"(518,197185)"
"(519,193672)"
"(520,191196)"
"(521,187912)"
"(522,185556)"
"(523,183141)"
"(524,183787)"
"(525,183040)"
"(526,184000)"
"(527,184896)"
"(528,184320)"
"(529,182909)"
"(530,183744)"
"(531,183168)"
"(532,182275)"
"(533,183360)"
"(534,183540)"
"(535,182649)"
"(536,180942)"
"(537,182328)"
"(538,182080)"
"(539,183612)"
"(540,185725)"
"(541,187525)"
"(542,189912)"
"(543,194449)"
"(544,195160)"
"(545,198930)"
"(546,197185)"
"(547,193672)"
"(548,191196)"
"(549,187912)"
"(550,185556)"
"(551,183141)"
"(552,183787)"
"(553,183040)"
"(554,184000)"
"(555,184896)"
"(556,184320)"
"(557,182909)"
"(558,183744)"
"(559,183168)"
"(560,182275)"
"(561,183360)"
"(562,183540)"
"(563,182649)"
"(564,180942)"
"(565,182328)"
"(566,182080)"
"(567,183612)"
"(568,185725)"
"(569,187525)"
"(570,189912)"
"(571,194449)"
"(572,195160)"
"(573,198930)"
"(574,197185)"
"(575,193672)"
"(576,191196)"
"(577,187912)"
"(578,185556)"
"(579,183141)"
"(580,183787)"
"(581,183040)"
"(582,184000)"
"(583,184896)"
"(584,184320)"
"(585,182909)"
"(586,183744)"
"(587,183168)"
"(588,182275)"
"(589,183360)"
"(590,183540)"
"(591,182649)"
"(592,180942)"
"(593,182328)"
"(594,182080)"
"(595,183612)"
"(596,185725)"
"(597,187525)"
"(598,189912)"
"(599,194449)"
"(600,195160)"
"(601,198930)"
"(602,197185)"
"(603,193672)"
"(604,191196)"
"(605,187912)"
"(606,185556)"
"(607,183141)"
"(608,183787)"
"(609,183040)"
"(610,184000)"
"(611,184896)"
"(612,184320)"
"(613,182909)"
"(614,183744)"
"(615,183168)"
"(616,182275)"
"(617,183360)"
"(618,183540)"
"(619,182649)"
"(620,180942)"
"(621,182328)"
"(622,182080)"
"(623,183612)"
"(624,185725)"
"(625,187525)"
"(626,189912)"
"(627,194449)"
"(628,195160)"
"(629,198930)"
"(630,197185)"
"(631,193672)"
"(632,191196)"
"(633,187912)"
"(634,185556)"
"(635,183141)"
"(636,183787)"
"(637,183040)"
"(638,184000)"
"(639,184896)"
"(640,184320)"
"(641,182909)"
"(642,183744)"
"(643,183168)"
"(644,182275)"
"(645,183360)"
"(646,183540)"
"(647,182649)"
"(648,180942)"
"(649,182328)"
"(650,182080)"
"(651,183612)"
"(652,185725)"
"(653,187525)"
"(654,189912)"
"(655,194449)"
"(656,195160)"
"(657,198930)"
"(658,197185)"
"(659,193672)"
"(660,191196)"
"(661,187912)"
"(662,185556)"
"(663,183141)"
"(664,183787)"
"(665,183040)"
"(666,184000)"
"(667,184896)"
"(668,184320)"
"(669,182909)"
"(670,183744)"
"(671,183168)"
"(672,182275)"
"(673,183360)"
"(674,183540)"
"(675,182649)"
"(676,180942)"
"(677,182328)"
"(678,182080)"
"(679,183612)"
"(680,185725)"
"(681,187525)"
"(682,189912)"
"(683,194449)"
"(684,195160)"
"(685,198930)"
"(686,197185)"
"(687,193672)"
"(688,191196)"
"(689,187912)"
"(690,185556)"
"(691,183141)"
"(692,183787)"
"(693,183040)"
"(694,184000)"
"(695,184896)"
"(696,184320)"
"(697,182909)"
"(698,183744)"
"(699,183168)"
"(700,182275)"
"(701,183360)"
"(702,183540)"
"(703,182649)"
"(704,180942)"
"(705,182328)"
"(706,182080)"
"(707,183612)"
"(708,185725)"
"(709,187525)"
"(710,189912)"
"(711,194449)"
"(712,195160)"
"(713,198930)"
"(714,197185)"
"(715,193672)"
"(716,191196)"
"(717,187912)"
"(718,185556)"
"(719,183141)"
"(720,183787)"
"(721,183040)"
"(722,184000)"
"(723,184896)"
"(724,184320)"
"(725,182909)"
"(726,183744)"
"(727,183168)"
"(728,182275)"
"(729,183360)"
"(730,183540)"
"(731,182649)"
"(732,180942)"
"(733,182328)"
"(734,182080)"
"(735,183612)"
"(736,185725)"
"(737,187525)"
"(738,189912)"
"(739,194449)"
"(740,195160)"
"(741,198930)"
"(742,197185)"
"(743,193672)"
"(744,191196)"
"(745,187912)"
"(746,185556)"
"(747,183141)"
"(748,183787)"
"(749,183040)"
"(750,184000)"
"(751,184896)"
"(752,184320)"
"(753,182909)"
"(754,183744)"
"(755,183168)"
"(756,182275)"
"(757,183360)"
"(758,183540)"
"(759,182649)"
"(760,180942)"
"(761,182328)"
"(762,182080)"
"(763,183612)"
"(764,185725)"
"(765,187525)"
"(766,189912)"
"(767,194449)"
"(768,195160)"
"(769,198930)"
"(770,197185)"
"(771,193672)"
"(772,191196)"
"(773,187912)"
"(774,185556)"
"(775,183141)"
"(776,183787)"
"(777,183040)"
"(778,184000)"
"(779,184896)"
"(780,184320)"
"(781,182909)"
"(782,183744)"
"(783,183168)"
"(784,182275)"
"(785,183360)"
"(786,183540)"
"(787,182649)"
"(788,180942)"
"(789,182328)"
"(790,182080)"
"(791,183612)"
"(792,185725)"
"(793,187525)"
"(794,189912)"
"(795,194449)"
"(796,195160)"
"(797,198930)"
"(798,197185)"
"(799,193672)"
"(800,191196)"
"(801,187912)"
"(802,185556)"
"(803,183141)"
"(804,183787)"
"(805,183040)"
"(806,184000)"
"(807,184896)"
